Agent ID,Renewal Status,Policy Discounts,Risk Score,Policy ID,High_Risk_Flag,Risk Category
AGT43228742,Not Renewed,31,42,POL27806251,0,Medium Risk
AGT46808172,Pending,12,76,POL96934398,1,High Risk
AGT32340750,Pending,17,5,POL93505220,0,Low Risk
AGT68647921,Not Renewed,18,80,POL39531025,1,High Risk
AGT57092464,Pending,28,1,POL38769300,0,Low Risk
AGT47653967,Renewed,25,36,POL07841878,0,Medium Risk
AGT05457971,Not Renewed,2,99,POL21963992,1,High Risk
AGT63127637,Not Renewed,13,100,POL64589705,1,High Risk
AGT49332725,Not Renewed,7,35,POL49133977,0,Medium Risk
AGT70109277,Not Renewed,9,64,POL80278196,0,High Risk
AGT41262935,Pending,11,80,POL89935970,1,High Risk
AGT39802391,Not Renewed,14,41,POL40425029,0,Medium Risk
AGT69637553,Renewed,43,95,POL59138324,1,High Risk
AGT00978847,Pending,7,48,POL79312567,0,Medium Risk
AGT65699402,Pending,15,62,POL05760636,0,High Risk
AGT52126806,Pending,17,95,POL09606287,1,High Risk
AGT43950584,Not Renewed,0,82,POL70474651,1,High Risk
AGT26990736,Renewed,39,83,POL89907664,1,High Risk
AGT85390293,Renewed,45,9,POL64943722,0,Low Risk
AGT13144077,Renewed,31,29,POL90960707,0,Low Risk
AGT04680213,Pending,25,47,POL59179996,0,Medium Risk
AGT89254638,Pending,47,35,POL24718635,0,Medium Risk
AGT32533158,Pending,48,40,POL19704549,0,Medium Risk
AGT79593844,Pending,16,24,POL99720690,0,Low Risk
AGT42929675,Not Renewed,8,77,POL07613630,1,High Risk
AGT58174916,Pending,42,46,POL68368522,0,Medium Risk
AGT62130200,Pending,29,44,POL96166579,0,Medium Risk
AGT02968022,Renewed,27,61,POL78863924,0,High Risk
AGT46386081,Pending,11,10,POL66542527,0,Low Risk
AGT45322995,Pending,41,87,POL21617511,1,High Risk
AGT60595923,Not Renewed,30,72,POL96023706,1,High Risk
AGT31312804,Renewed,0,3,POL42325037,0,Low Risk
AGT57898434,Pending,40,46,POL40460695,0,Medium Risk
AGT18996802,Pending,31,49,POL78206308,0,Medium Risk
AGT88632369,Not Renewed,16,60,POL52956070,0,Medium Risk
AGT70061804,Renewed,19,54,POL39046123,0,Medium Risk
AGT03089985,Renewed,39,36,POL51620232,0,Medium Risk
AGT46008376,Renewed,49,93,POL36575612,1,High Risk
AGT70796644,Pending,35,24,POL48412691,0,Low Risk
AGT33496812,Renewed,46,56,POL15402724,0,Medium Risk
AGT63219112,Not Renewed,24,32,POL83997445,0,Medium Risk
AGT27491994,Renewed,13,100,POL20505761,1,High Risk
AGT98172610,Pending,47,35,POL69974800,0,Medium Risk
AGT34186806,Pending,2,52,POL30601696,0,Medium Risk
AGT05021501,Pending,7,68,POL62179381,0,High Risk
AGT18473213,Pending,44,38,POL77239759,0,Medium Risk
AGT81391380,Not Renewed,27,75,POL44219481,1,High Risk
AGT00296873,Not Renewed,27,25,POL75428993,0,Low Risk
AGT09870015,Renewed,23,23,POL65504828,0,Low Risk
AGT02089326,Renewed,11,3,POL96603488,0,Low Risk
AGT82511992,Pending,28,28,POL13213398,0,Low Risk
AGT24479233,Pending,27,92,POL27777205,1,High Risk
AGT46426143,Pending,32,78,POL30200147,1,High Risk
AGT00778173,Pending,37,55,POL32552913,0,Medium Risk
AGT36991573,Not Renewed,7,3,POL35209226,0,Low Risk
AGT08478371,Not Renewed,10,53,POL51049013,0,Medium Risk
AGT52042395,Pending,4,22,POL79914241,0,Low Risk
AGT88851041,Renewed,34,56,POL63077295,0,Medium Risk
AGT29625804,Not Renewed,38,64,POL19274658,0,High Risk
AGT39587181,Renewed,50,36,POL28043223,0,Medium Risk
AGT57527336,Not Renewed,11,45,POL43343233,0,Medium Risk
AGT87797273,Not Renewed,9,54,POL02336146,0,Medium Risk
AGT58491749,Renewed,4,1,POL01239814,0,Low Risk
AGT24832912,Renewed,17,33,POL64805692,0,Medium Risk
AGT23653110,Not Renewed,38,42,POL79704681,0,Medium Risk
AGT41354483,Pending,46,33,POL77826609,0,Medium Risk
AGT70367808,Not Renewed,3,18,POL06037561,0,Low Risk
AGT96446016,Renewed,8,1,POL50239325,0,Low Risk
AGT02017880,Pending,18,66,POL83266915,0,High Risk
AGT64295113,Pending,46,49,POL18867984,0,Medium Risk
AGT97767020,Not Renewed,8,18,POL50802042,0,Low Risk
AGT34431565,Renewed,39,63,POL76748109,0,High Risk
AGT59958517,Not Renewed,39,68,POL48874486,0,High Risk
AGT49653858,Not Renewed,29,42,POL91116374,0,Medium Risk
AGT82729240,Renewed,9,69,POL91686015,0,High Risk
AGT49414273,Renewed,2,39,POL13029856,0,Medium Risk
AGT48089898,Renewed,4,56,POL28573734,0,Medium Risk
AGT35851031,Renewed,47,20,POL90664485,0,Low Risk
AGT34601248,Renewed,41,97,POL25630495,1,High Risk
AGT49109239,Pending,31,36,POL58909677,0,Medium Risk
AGT53433359,Pending,37,54,POL21300763,0,Medium Risk
AGT97761864,Renewed,18,75,POL27708077,1,High Risk
AGT91783202,Pending,27,75,POL97831639,1,High Risk
AGT55165473,Pending,25,35,POL66952651,0,Medium Risk
AGT25853628,Renewed,45,61,POL36273981,0,High Risk
AGT93876422,Renewed,48,83,POL34621999,1,High Risk
AGT80165018,Pending,46,80,POL72333651,1,High Risk
AGT00132948,Pending,8,95,POL60474745,1,High Risk
AGT76069643,Renewed,27,32,POL48632113,0,Medium Risk
AGT02449182,Not Renewed,11,59,POL95138693,0,Medium Risk
AGT73119441,Not Renewed,17,91,POL55883370,1,High Risk
AGT33556446,Renewed,30,12,POL45719981,0,Low Risk
AGT81291077,Pending,49,71,POL49483988,1,High Risk
AGT61002687,Pending,7,53,POL01860747,0,Medium Risk
AGT29482086,Pending,46,46,POL49959847,0,Medium Risk
AGT49731977,Renewed,48,5,POL69437529,0,Low Risk
AGT99269595,Not Renewed,30,94,POL71731028,1,High Risk
AGT27401713,Not Renewed,15,32,POL22702092,0,Medium Risk
AGT84963028,Pending,9,77,POL21489269,1,High Risk
AGT33631156,Pending,2,2,POL45984534,0,Low Risk
